Institution Name,Mission statement (IC2020mission)
University of California-Berkeley,
University of California-Davis,OUR MISSION: UC Davis is dedicated to academic excellence and scholarship in service to the public good. As a land-grant research institution  UC Davis takes a holistic approach in addressing the most critical issues faced by the region  state and the world. The university embraces the principles of diversity  inclusion and equity to sustain a culture of mutual respect.
University of California-Irvine,
University of California-Los Angeles,
University of California-Merced,The mission of the University of California Merced is embodied in its pride in being the first American research university of the 21st century.
University of California-Riverside,
University of California-San Diego,Established in the 1960s as an experimental campus UC San Diego benefited early on from a supportive local community and founders who aimed to serve the nation’s need for exceptional basic science by recruiting the best scholars. The world-renowned Scripps Institution of Oceanography which became part of the University of California in 1912 served as a catalyst and an incubator for the fledgling university’s growth. With minimal barriers to advancing their creativity and scholarship our pioneering faculty members pursued new frontiers of knowledge and created new disciplines. Their initial success attracted other scholars which led to the rapid development of a comprehensive university where interdisciplinary research inspired teaching and creative expression quickly became hallmarks. Today a culture of collaboration risk taking and innovation infuses our institutional DNA.
University of California-Santa Barbara,The University of California Santa Barbara is a leading research institution that also provides a comprehensive liberal arts learning experience. Teaching and research go hand-in-hand at UC Santa Barbara. Our students are full participants in an educational journey of discovery that stimulates independent thought critical reasoning and creativity. Our academic community of faculty students and staff is characterized by a culture of interdisciplinary collaboration that is responsive to the needs of our multicultural and global society. All of this takes place within a living and learning environment like no other as we draw inspiration from the beauty and resources of our extraordinary location at the edge of the Pacific Ocean.
University of California-Santa Cruz,The UCSC vision is to promote academic excellence within a diverse community of scholars and learners.  UCSC will lead in the development of new disciplines  advances in established disciplines and in new lines of collaboration between disciplines by its receptivity to creativity and innovation based in rigorous scholarly activity.  We will celebrate the diversity of our students  faculty and staff and value their differing perspectives and contributions.
University of Central Arkansas,The University of Central Arkansas aspires to be a premier learner-focused public comprehensive university a nationally recognized leader for its continuous record of excellence in undergraduate and graduate education scholarly and creative endeavors and engagement with local national and global communities.
University of Central Florida,The University of Central Florida (UCF) is a metropolitan research university built to make a better future for our students and society. We solve tomorrow’s greatest challenges through a commitment to academic  inclusive and operational excellence. Leveraging innovative learning  discovery and partnerships  we foster social mobility while developing the skilled talent needed to advance industry for our region  state and beyond.
University of Central Missouri,The University of Central Missouri believes its responsibility is to enrich each student’s'                                       perspective through a cumulative experience that starts with academic rigor and integrates'                                       applied learning and servant-leadership opportunities. Our model of continuous learning'                                       allows each student to find and fulfill his or her own sense of purpose. By engaging'                                       students with multiple sources of learning and creating a dynamic environment that'                                       encourages individuals to find their passions and reach beyond themselves UCM prepares'                                       students by giving them knowledge and experiences that broaden and deepen their education'                                       so they may flourish in a world of accelerated change.
University of Central Oklahoma,
University of Charleston,The Mission of the University of Charleston is to educate each student for a life of productive work enlightened living and community involvement.
University of Chicago,The University has a mission statement  formally adopted by the governing board and made public  declaring that it is an institution of higher education.      Since its founding  the mission of the University of Chicago  reiterated by each president  has been to sustain at the highest level of excellence the communication of knowledge  the creation of knowledge  and the fostering of a dynamic community of scholars and students.    The University's first formal statement of mission appears in its Articles of Incorporation  initially adopted in 1890 and most recently amended in 1944.
University of Cincinnati-Main Campus,
University of Colorado Boulder,As a member of the Boulder community and the University of Colorado Boulder I agree to:
University of Colorado Colorado Springs,The Colorado Springs campus of the University of Colorado shall be a comprehensive baccalaureate and specialized graduate research university with selective admission standards. The Colorado Springs campus shall offer liberal arts and sciences  business  engineering  health sciences  and teacher preparation undergraduate degree programs  and a selected number of master's and doctoral degree programs.
University of Colorado Denver/Anschutz Medical Campus,
University of Connecticut,The University of Connecticut is dedicated to excellence demonstrated through national and international recognition.  As Connecticut’s public research university through freedom of academic inquiry and expression we create and disseminate knowledge by means of scholarly and creative achievements graduate and professional education and outreach. Through our focus on teaching and learning the University helps every student grow intellectually and become a contributing member of the state national and world communities.  Through research teaching service and outreach we embrace diversity and cultivate leadership integrity and engaged citizenship in our students faculty staff and alumni.  As our state’s flagship public university and as a land and sea grant institution we promote the health and well-being of Connecticut’s citizens through enhancing the social economic cultural and natural environments of the state and beyond.
University of Connecticut-Avery Point,
University of Connecticut-Hartford Campus,
University of Connecticut-Stamford,
University of Connecticut-Waterbury Campus,
University of Dallas,The University of Dallas is dedicated to the pursuit of wisdom of truth and of virtue'                  as the proper and primary ends of education. The University seeks to educate its students'                  so they may develop the intellectual and moral virtues prepare themselves for life'                  and work in a problematic and changing world and become leaders able to act responsibly'                  for their own good and for the good of their family community country and church.
University of Dayton,The University of Dayton is a top-tier Catholic research university withacademic offeringsfrom the undergraduate to the doctoral levels. We are adiverse communitycommitted in theMarianist tradition to educating the whole person and linkinglearningandscholarshipwithleadershipandservice.
University of Delaware,The University of Delaware exists to cultivate learning  develop knowledge  and foster the free exchange of ideas. State-assisted yet privately governed  the University has a strong tradition of distinguished scholarship  which is manifested in its research and creative activities  teaching  and service  in line with its commitment to increasing and disseminating scientific  humanistic  artistic  and social knowledge for the benefit of the larger society. Founded in 1743 and chartered by the state in 1833  the University of Delaware today is a land-grant  sea-grant  and space-grant university.   The University of Delaware is a major research university with extensive graduate programs that is also dedicated to outstanding undergraduate and professional education. UD faculty are committed to the intellectual  cultural  and ethical development of students as citizens  scholars and professionals. UD graduates are prepared to contribute to a global and diverse society that requires leaders with creativity  integrity and a dedication to service.   The University of Delaware promotes an environment in which all people are inspired to learn  and encourages intellectual curiosity  critical thinking  free inquiry  and respect for the views and values of an increasingly diverse population.   An institution engaged in addressing the critical needs of the state  nation  and global community  the University of Delaware carries out its mission with the support of alumni who span the globe and in partnership with public  private  and nonprofit institutions in Delaware and beyond.
University of Denver,By courageously pursuing our goals—goals defined collaboratively by our students staff faculty alumni and friends—the University of Denver can and will meet the needs of our students and society. Our Five Strategic Imperatives a distillation ofDU IMPACT 2025 represent our most pressing priorities and exciting potential.
University of Detroit Mercy,University of Detroit Mercy is the only university in the world that combines the centuries-old commitment to education of the Society of Jesus and the Religious Sisters of Mercy. The two charisms rooted in the Gospel strengthen and support each other in their vision of building competent compassionate leaders ready to serve in a vulnerable world. Our students learn compassion and respect for all voices especially those that are often muted. Moral and ethical issues are considered alongside academic and professional disciplines. Our students understand that the Mercy and Jesuit charisms demand that they put their education to work in service of others. Collaboration across programs provides students a local and global vision helping them understand the difference they can make in their field and the world.
University of Dubuque,UNIVERSITY OF DUBUQUE MISSIONThe University of Dubuque is a private university offering undergraduate graduate and theological seminary degrees and other educational opportunities with the intention of educating and forming the whole person. The University is comprised of individuals from the region our nation and the world.
University of Evansville,The University of Evansville – a leading private university in the Midwest – is recognized nationally for developing students' personal and professional competencies cultivating critical and creative thinkers and producing ethical global citizens equipped to thrive in a world of complexity and change. We accomplish this by attracting and retaining talented and motivated students who succeed within a diverse supportive and sustainable environment.
University of Florida,
University of Florida-Online,
University of Fort Lauderdale,The mission of the University of Fort Lauderdale is to be a premier Christian institution of higher learning empowering future leaders through higher educational degrees rooted in Biblical principles and academic excellence  to influence the world intellectually  technologically  and through research.
University of Georgia,
University of Hartford,At the University of Hartford we are committed to community. We are an academic community that values integrity curiosity creativity excellence responsibility and accomplishment. Enriched by our diversity and our engagement with one another we take pride in our shared traditions and experiences. We are dedicated to building a culture that respects all of its members and celebrates their contributions as we work together to strengthen our community.
University of Hawaii at Hilo,
University of Hawaii at Manoa,
University of Hawaii-West Oahu,
University of Health Sciences and Pharmacy in St. Louis,University of Health Sciences and Pharmacy in St. Louis is guided by its mission vision and values. They are the principles by which we define ourselves and our community.
University of Holy Cross,The University of Holy Cross a Catholic institution of higher learning is an inclusive student-centered learning community focused on academic excellence and innovative teaching.  Rooted in the traditions of the Marianites of Holy Cross the University is committed to educating the minds and hearts of its students through freedom of inquiry the pursuit of truth and compassionate care for all.
University of Houston,The University of Houston draws strength from its diversity to transform lives and communities through education research service and innovation in a real world setting. UH is an engine for discovery conversation and change that informs and leads local state national and global partnerships.
University of Houston-Clear Lake,The University of Houston-Clear Lake will lead as a learner-centered university dedicated'                              to achieving national prominence in transformative education grounded in creative'                              activities innovative research and community partnerships that serve regional state'                              and global locations. UHCL launches your future!
University of Houston-Downtown,The University of Houston-Downtown is a community of diverse faculty staff students and regional partners dedicated to nurturing talent generating knowledge and driving socioeconomic mobility for a just and sustainable future.This new Mission Statement shows that UHD is an institution that is driven by public purposes and it clearly addresses the university’s role in serving the needs of the region and the city.As we approach our 50thanniversary we continue to stay true to our first purpose which is toeducate our students. As a student-ready institution we boost student success by being prepared for the students whom we recruit and enroll. Our students become members of an academic community that identifies where their potential lies and acts to nurture their innate talents. With the reputation of being an engine of students’ socioeconomic mobility the university equips students to serve a common good rather than seeing their degrees solely as a private gain.Our commitment to generatingsocially impactful knowledgethrough thoughtful inquiry is manifested by our marked ability to bring the expertise of our students faculty and staff together with that of community partners to explore and exchange ideas and to search for solutions to seemingly intractable problems.We are also committed toengagement with and outreach to the city and region and we encourage our students through experiential and applied learning to consider the implications of public service and collaborative problem-solving as they bend to work toward a just and sustainable future.
University of Houston-Victoria,The University of Houston-Victoria (UHV)  a dynamic destination institution serving Texas and the world  is dedicated to providing every student educational and leadership opportunities to become a successful professional and an engaged global citizen. Innovative educational activities challenge students to make meaningful connections between their learning and their lives in a complex world. UHV promotes economic development and advances quality of life through teaching  research  and service excellence.
University of Idaho,Experience University of Idaho with a virtual tour.Explore now
University of Illinois Chicago,The University of Illinois Chicago is an acclaimed research institution with 16 colleges dedicated to the discovery and distribution of knowledge.
University of Illinois Springfield,One University PlazaSpringfield Illinois 62703ph: 217.206.6600admissions@uis.edu
University of Illinois Urbana-Champaign,The University of Illinois Urbana-Champaign is charged by our state to enhance the lives of citizens in Illinois across the nation and around the world through our leadership in learning discovery engagement and economic development.
University of Indianapolis,
University of Iowa,Ours is a narrative of resilience that extends out from the heartland toward the future  inspired by a commitment to our state  nation  and global  community. With a spirit of inclusiveness and collaboration  UI faculty  staff  and students pursue excellence guided by our institutional strengths and complexity. From the humanities to STEM fields and from the performing arts to professional schools and the medical complex  our collective will to excel  to create  and to heal motivates our work. Together  we unlock human potential and prepare citizens for the future.
University of Jamestown,Jamestown ND 58405
University of Kansas,The mission of the University of Kansas is to lift students and society by educating leaders building healthy communities and making discoveries that change the world. We advance this mission every day across KU's five campuses which include the Lawrence Campus the Edwards Campus and three KU Medical Center campuses in Kansas City Salina and Wichita.
University of Kentucky,We've acted quickly to reinvent and reimagine what is normal at the University of Kentucky in the wake of this public health crisis. There are several guiding principles we have established as we navigate how to best support our community during this time.
University of La Verne,The University of La Verne offers a distinctive and relevant educational experience to a diverse population of traditional-age  adult  and graduate learners  preparing them for successful careers and a commitment to life-long learning across the liberal arts and professional programs.
University of Louisiana at Lafayette,At the University of Louisiana at Lafayette we're harnessing the spirit of collaboration.
University of Louisiana at Monroe,The University of Louisiana at Monroe seeks students who find value in our programs and prepares them to compete  succeed  and contribute in an ever-changing global society through a transformative education.
University of Louisville,The University of Louisville is a state-supported research university located inKentucky's largest metropolitan area. It was a municipally supported public institution for many decades prior to joining the university system in 1970. The University has three campuses. The 287-acre Belknap Campus is three miles from downtown Louisville and houses eight of the university's12 colleges and schools. TheHealth Sciences Centeris situated in downtown Louisville's medical complex and houses the university's health-related programs and theUniversity of Louisville Hospital. The 243-acre Shelby Campus is located in eastern Jefferson County.
University of Lynchburg,UniversityofLynchburg
University of Maine,Opportunity for all members of the University of Maine community is a cornerstone of our mission. The university welcomes students research partners and collaborators into an atmosphere that honors the heritage and diversity of our state and nation.
University of Maine at Augusta,University of Maine at Augusta transforms the lives of students of every age and background across the State of Maine and beyond through access to high-quality distance and on-site education  excellent student support and civic engagement  and innovative professional and liberal arts programs.
University of Maine at Farmington,The University of Maine at Farmington is more than a school. It’s a place where you go to learn more than what’s in the textbook. It’s where you go to learn what you want to do with your life.
University of Maine at Fort Kent,University of Maine Fort Kent is one of the most unique campus settings in the state of Maine. Come see for yourself.
University of Maine at Presque Isle,University of Maine at Presque Isle181 Main StreetPresque Isle ME 04769207.768.9400Contact Us
University of Management and Technology,Privacy Policy|Contact Us|Copyright © 1998-2023 University of Management and Technology (UMT)|Consumer Information Disclosure
University of Mary,The University of Mary exists to serve the religious academic and cultural needs of the people in this region and beyond. It takes its tone from the commitment of theSisters of Annunciation Monastery. These Sisters founded the university in 1959 and continue to sponsor it today. It is Christian it is Catholic and it is Benedictine.
University of Mary Hardin-Baylor,
University of Mary Washington,The University of Mary Washington is one of Virginia’s outstanding public liberal arts universities providing a superior education that inspires and enables our students to make positive changes in the world.
University of Maryland Eastern Shore,The University of Maryland Eastern Shore (UMES)  the State's Historically Black 1890 Land Grant institution  has its purpose and uniqueness grounded in distinctive learning  discovery  and engagement opportunities in the  arts and sciences  education  technology  engineering   agriculture  business  and health professions. UMES is a student-centered  doctoral research degree-granting university known for its nationally accredited undergraduate and graduate programs  applied research  and highly valued graduates. UMES provides individuals  including first generation college students  access to a holistic learning environment that fosters multicultural diversity  academic success  and intellectual and social growth. UMES prepares graduates to address challenges in a global knowledge-based economy  while maintaining its commitment to meeting the workforce and economic development needs of the Eastern Shore  the State  the Nation  and the World.
University of Maryland Global Campus,In 2019 we changed our name to University of Maryland Global Campus to better reflect our global presence and ongoing mission of serving the education needs of working adults and military students around the world.
University of Maryland-Baltimore County,UMBC is a dynamic public research university integrating teaching  research and service to benefit the citizens of Maryland. As an Honors University  the campus offers academically talented students a strong undergraduate liberal arts foundation that prepares them for graduate and professional study  entry into the workforce  and community service and leadership. UMBC emphasizes science  engineering  information technology  human services and public policy at the graduate level. UMBC contributes to the economic development of the State and the region through entrepreneurial initiatives  workforce training  K-16 partnerships  and technology commercialization in collaboration with public agencies and the corporate community. UMBC is dedicated to cultural and ethnic diversity  social responsibility and lifelong learning.
University of Maryland-College Park,Achieving excellence in teaching research and public service within a supportive respectful and inclusive environment is central to the mission and identity of the University of Maryland College Park (UMD). As the flagship campus and a national leader in higher education UMD strives to provide exceptional and affordable instruction for Maryland's most promising students regardless of income. A pre-eminent locus of scholarship the university builds and maintains a world class capacity in the sciences arts and humanities to support ground-breaking discoveries that address the most pressing global challenges and inspire the human imagination. As one of the country's first land-grant institutions UMD uses its research educational cultural and technological strengths in partnership with state federal private and non-profit sectors to promote economic development and improve quality of life in the State of Maryland. Diversity amongst our students faculty and staff is essential to this mission. Accordingly ensuring equal educational opportunity; hiring and retaining a diverse and exceptional faculty and staff; recruiting and graduating talented students from traditionally underrepresented groups; and providing a supportive climate for their well-being are top institutional priorities.
University of Massachusetts Global,The mission of Brandman University is to provide students with a dynamic education based on excellence and flexibility that creates lasting value and relevance for evolving careers.
University of Massachusetts-Amherst,The University's mission is to provide an affordable and accessible education of high quality and to conduct programs of research and public service that advance knowledge and improve the lives of the people of the Commonwealth  the nation  and the world.
University of Massachusetts-Boston,The University of Massachusetts Boston is a public research university with a dynamic culture of teaching and learning and a special commitment to urban and global engagement. Our vibrant multi-cultural educational environment encourages our broadly diverse campus community to thrive and succeed. Our distinguished scholarship dedicated teaching and engaged public service are mutually reinforcing creating new knowledge while serving the public good of our city our commonwealth our nation and our world.
University of Massachusetts-Dartmouth,
University of Massachusetts-Lowell,For more than a century UMass Lowell has been preparing students to work in the real-world solve real problems and help real people. The university began as the Lowell Normal School a teaching college founded in 1894 and the Lowell Textile School founded in 1895 to train technicians and managers for the textile industry. Over the next 75 years both institutions extended their offerings to meet the growing needs of the region. Lowell State and Lowell Tech as they were then known merged in 1975 to form the University of Lowell. The campus became part of theUniversity of Massachusettssystem in 1991.
University of Memphis,Learn more about the 13th President of the University of Memphis
University of Miami,Founded in 1925 by a group of Miami citizens who believed that an institution of higher learning was necessary for the development of their young and growing community the University has matured into a major research university and academic health system. Located within one of the most dynamic and multicultural cities in the world the University is a distinctive community with a variety of races ethnicities customs genders and faiths. Its geographic location uniquely positions the University to be both local and global in outlook and outreach.
University of Michigan-Ann Arbor,
University of Michigan-Dearborn,
University of Michigan-Flint,
University of Minnesota-Crookston,The University of Minnesota Crookston delivers educational programs that build upon a broad academic foundation and combine theory practice and experimentation in a technologically rich environment. We prepare students for career success advanced study and engaged citizenship in a diverse world. We integrate teaching and learning research and scholarly work and outreach and engagement to serve the public good.
University of Minnesota-Duluth,
University of Minnesota-Morris,University of Minnesota Morris
University of Minnesota-Rochester,The University of Minnesota Rochester (UMR) is a campus of the University of Minnesota system.
University of Minnesota-Twin Cities,
University of Mississippi,The University of Mississippi aspires to be a preeminent public international research university and a leading force for innovation and opportunity in Mississippi the United States and the world.
University of Missouri-Columbia,
University of Missouri-Kansas City,As an urban research university our mission at the University of Missouri-Kansas City is to promote learning through the discovery preservation and dissemination of knowledge of public value across a broad spectrum of disciplines and fields of study. UMKC celebrates the individual and embodies diversity and inclusion by intertwining these goals with innovation to enable transformational impact aimed at bringing cultural social health and economic prosperity to the metropolitan regional and global communities we serve.
University of Missouri-St Louis,As the metropolitan land-grant research institution serving the most diverse and economically important region in Missouri the University of Missouri–St. Louis delivers exceptional educational research and engagement experiences that inform prepare challenge and inspire.
University of Mobile,
University of Montevallo,The overriding mission of the University of Montevallo unique in Alabama higher education is to provide to students from throughout the state an affordable geographically accessible “small college” public higher educational experience of high quality with a strong emphasis on undergraduate liberal studies and with professional programs supported by a broad base of arts and sciences designed for their intellectual and personal growth in pursuit of meaningful employment and responsible informed citizenship.
University of Mount Olive,The University of Mount Olive is a Christian faith-based values-centered private institution rooted in the liberal arts tradition. We serve our students our founding church and our communities.
University of Mount Union,The mission of the University of Mount Union is to prepare students for fulfilling lives  meaningful work and responsible citizenship.
University of Nebraska at Kearney,The University of Nebraska at Kearney is a public residential university committed to be one of the nation's premier undergraduate institutions with excellent graduate education scholarship and public service.
University of Nebraska at Omaha,As both a Metropolitan University of distinction and a Carnegie Doctoral Research institution the University of Nebraska at Omaha (UNO) transforms and improves the quality of life locally nationally and globally.
University of Nebraska-Lincoln,The University of Nebraska–Lincoln is part of the University of Nebraska system which is governed by a Board of Regents whose members are elected by Nebraska voters. The University of Nebraska–Lincoln was chartered by the Legislature in 1869 and serves as both the land-grant and the comprehensive public university for the State of Nebraska. Those responsible for its origins recognized the value of combining the breadth of a comprehensive university with the professional and outreach orientation of the land-grant university thus establishing a campus which has evolved to become the flagship campus of the University of Nebraska. The university works cooperatively with the other three campuses and Central Administration to provide for its student body and all Nebraskans the widest array of disciplines areas of expertise and specialized facilities of any institution within the state.
University of Nevada-Las Vegas,
University of Nevada-Reno,The University of Nevada Reno's vision is to educate and graduate the best-prepared confident leaders for the state national and global community; to be a nexus for research and creativity that focuses on vital issues of our time; and to serve as a catalyst for the betterment of our society.
University of New England,This website uses cookies to understand how you use the website and to improve your experience. By continuing to use the website you accept the University of New England’s use of cookies and similar technologies. To learn more about our use of cookies and how to manage your browser cookie settings please review ourPrivacy Notice.
University of New Hampshire at Manchester,The University of New Hampshire is the state’s public research university providing comprehensive high-quality undergraduate programs and graduate programs of distinction. Its primary purpose is learning: students collaborating with faculty in teaching research creative expression and service. UNH has a national and international agenda and holds land-grant sea-grant and space-grant charters. From its main campus in Durham its college in Manchester and the UNH School of Law in Concord the university serves New Hampshire and the region through continuing education cooperative extension cultural outreach economic development activities and applied research.
University of New Hampshire-Main Campus,The University of New Hampshire is the state’s public research university providing comprehensive high-quality undergraduate programs and graduate programs of distinction. Its primary purpose is learning: students collaborating with faculty in teaching research creative expression and service. UNH has a national and international agenda and holds land-grant sea-grant and space-grant charters. From its main campus in Durham its college in Manchester and the UNH School of Law in Concord the university serves New Hampshire and the region through continuing education cooperative extension cultural outreach economic development activities and applied research.
University of New Haven,The University of New Haven is a student-centered comprehensive university with an emphasis on excellence in liberal arts and professional education. Our mission is to prepare our students to lead purposeful and fulfilling lives in a global society by providing the highest-quality education through experiential  collaborative  and discovery-based learning.
University of New Mexico-Main Campus,
University of New Orleans,The University of New Orleans is a comprehensive urban research university committed to providing educational excellence to a diverse undergraduate and graduate student body. The University is one of the region's foremost public resources offering a variety of world-class research-based programs advancing shared knowledge and adding to the region's industry culture and economy. The University of New Orleans as a global community asset serves national and international students and enhances the quality of life in New Orleans the state the nation and the world by participating in a broad array of research service learning cultural and academic activities.
University of North Alabama,
University of North Carolina at Asheville,The University of North Carolina Asheville is the state of North Carolina’s designated public liberal arts university and one of the 17 excellent  diverse  and accessible institutions of the UNC System. UNC Asheville’s liberal arts curriculum and approach to teaching and learning emphasize critical thinking  clear and thoughtful expression  undergraduate research  community engagement  and free and open inquiry. Through small class sizes  close collaboration  and high-impact experiences  we are preparing the next generation of leaders and productive citizens to serve North Carolina and the nation.
University of North Carolina at Chapel Hill,The University of North Carolina at Chapel Hill the nation’s first public university serves North Carolina the United States and the world through teaching research and public service. We embrace an unwavering commitment to excellence as one of the world’s great research universities.
University of North Carolina at Charlotte,As North Carolina’s urban research university UNC Charlotte is a diverse and inclusive institution with local-to-global impact that transforms lives communities and industries through access and affordability exemplary bachelor’s master’s doctoral and professional programs scholarship creative work innovation and service.
University of North Carolina at Greensboro,
University of North Carolina at Pembroke,Founded in 1887 as a school for the education of American Indians The University of North Carolina at Pembroke now serves a distinctly diverse student body and encourages inclusion and appreciation for the values of all people. UNC Pembroke exists to promote excellence in teaching and learning in bachelor’s master’s and professional doctoral degrees in an environment of free inquiry interdisciplinary collaboration and rigorous intellectual standards.
University of North Carolina School of the Arts,The University of North Carolina School of the Arts is atop-rankedcreative and performing arts conservatory in Winston-Salem N.C. Founded in 1963'                              as America’s first public arts conservatoryUNCSA celebrates more than 50 yearsof training wildly creative gifted and hardworking young artists to do what they'                              love and do it brilliantly!
University of North Carolina Wilmington,The University of North Carolina Wilmington the state’s coastal university is dedicated to the integration of teaching and mentoring with research and service.  Our commitment to student engagement creative inquiry critical thinking thoughtful expression and responsible citizenship is expressed in our baccalaureate and masters’ programs as well as doctoral programs in areas of expertise that serve state needs.  Our culture reflects our values of diversity and globalization ethics and integrity and excellence and innovation.
University of North Dakota,©2023 University of North Dakota - Grand Forks ND - Member of ND University System
University of North Florida,The University of North Florida is currently undergoing a web migration into a new system. While efforts have been made to eliminate any disruptions the page you are looking for may have had a name change been removed or is temporarily unavailable.
University of North Georgia,The University of North Georgia a regional multi-campus institution and premier senior military college provides a culture of academic excellence in a student-focused environment that includes quality education service research and creativity. This is accomplished through broad access to comprehensive academic and co-curricular programs that develop students into leaders for a diverse and global society. The University of North Georgia is a University System of Georgia leadership institution and is The Military College of Georgia.
University of North Texas,At the University of North Texas our caring and creative community empowers our students to thrive in a rapidly changing world.
University of North Texas at Dallas,
University of Northern Colorado,The University of Northern Colorado (the University) shall be a comprehensive baccalaureate'                        and specialized graduate research university with selective admission standards. The'                        University shall offer a comprehensive array of baccalaureate programs and master’s'                        and doctoral degrees primarily in the field of education. The University has statewide'                        authority to offer graduate programs for the preparation of educational personnel.
University of Northern Iowa,Mission:The University of Northern Iowa creates empowers and innovates to enrich Iowa and beyond.
University of Northwestern-St Paul,University of Northwestern – St. Paul exists to provide Christ-centered higher education equipping students to grow intellectually and spiritually to serve effectively in their professions and to give God-honoring leadership in the home church community and world.
University of Notre Dame,University of Notre Dame
University of Oklahoma-Norman Campus,
University of Oregon,The University of Oregon is a comprehensive public research university committed to exceptional teaching discovery and service. We work at a human scale to generate big ideas. As a community of scholars we help individuals question critically think logically reason effectively communicate clearly act creatively and live ethically.
University of Pennsylvania,
University of Phoenix-Arizona,
University of Pikeville,147 Sycamore StreetPikeville Kentucky 41501(606) 218-5250wewantyou@upike.edu
University of Pittsburgh-Bradford,© 2023 University of Pittsburgh at Bradford. All rights reserved.
University of Pittsburgh-Greensburg,The University of Pittsburgh at Greensburg welcomes students from all backgrounds and provides them with a high-quality affordable education to become skilled responsible adaptable professionals and global citizens. The University enriches the region through community engagement scholarship artistic expression and workforce development.
University of Pittsburgh-Johnstown,To offer a high quality educational experience in a supportive living learning environment  that is grounded in the liberal arts and sciences  that is current  and that is responsive to both our students' personal and professional needs and to our communities' needs.
University of Pittsburgh-Pittsburgh Campus,The University of Pittsburgh  founded in 1787  is one of the oldest institutions of higher education in the United States. As one of the nation’s distinguished comprehensive universities  the resources of the University constitute an invaluable asset for the intellectual  economic  and social enrichment of Pennsylvania  while the international prestige of the University enhances the image of Pennsylvania throughout the world. The University’s mission is to: provide high-quality undergraduate programs in the arts and sciences and professional fields  with emphasis upon those of special benefit to the citizens of Pennsylvania; • offer superior graduate programs in the arts and sciences and the professions that respond to the needs of Pennsylvania  as well as to the broader needs of the nation and the world; • engage in research  artistic  and scholarly activities that advance learning through the extension of the frontiers of knowledge and creative endeavor; • cooperate with industrial and governmental institutions to transfer knowledge in science  technology  and health care; • offer continuing education programs adapted to the personal enrichment  professional upgrading  and career advancement interests and needs of adult Pennsylvanians; and • make available to local communities and public agencies the expertise of the University in ways that are consistent with the primary teaching and research functions and contribute to social  intellectual  and economic development in the Commonwealth  the nation  and the world. The trustees  faculty  staff  students  and administration of the University are dedicated to accomplishing this mission  to which they pledge their individual and collective efforts  determined that the University shall continue to be counted among the prominent institutions of higher education throughout the world.
University of Portland,The University of Portland an independently governed Catholic university guided by the Congregation of Holy Cross addresses significant questions of human concern through disciplinary and interdisciplinary studies of the arts sciences and humanities and through studies in majors and professional programs at the undergraduate and graduate levels. As a diverse community of scholars dedicated to excellence and innovation we pursue teaching and learning faith and formation service and leadership in the classroom residence halls and the world. Because we value the development of the whole person the University honors faith and reason as ways of knowing promotes ethical reflection and prepares people who respond to the needs of the world and its human family.
University of Providence,
University of Puget Sound,Founded in 1888 University of Puget Sound is an independent residential and predominantly undergraduate liberal arts college.
University of Redlands,University of Redlands Emergency Alert System
University of Rhode Island,Marc B. Parlangebecame the 12th president of the University of Rhode Island on August 1 2021. President Parlange comes to URI from Monash University Australia’s largest research university and one of the world’s top 100 universities for excellence in research and teaching. As provost and senior vice president at Monash Parlange expanded the institution’s global relationships and helped to spur ambitious projects in areas such as artificial intelligence (AI) and data science new-generation building construction and sustainability. He intends to extend and amplify URI’s presence on a global scale through collaboration both on the University’s campuses and with other institutions of higher learning the world over.
